timestamp, mac, rss, battery
2013-11-12 18:52:06.673000,4694202700110029,-57,291A,0
2013-11-12 18:52:07.723000,4694202700110029,-51,2A1A,0
2013-11-12 18:52:08.791000,4694202700110029,-53,2B1A,0
2013-11-12 18:52:09.843000,4694202700110029,-63,2C1A,0
2013-11-12 18:52:10.896000,4694202700110029,-61,2D1A,0
2013-11-12 18:52:11.916000,4694202700110029,-54,2E1A,0
2013-11-12 18:52:12.952000,4694202700110029,-54,2F1A,0
2013-11-12 18:52:13.973000,4694202700110029,-55,301A,0
2013-11-12 18:52:15.041000,4694202700110029,-52,311A,0
2013-11-12 18:52:16.109000,4694202700110029,-50,321A,0
2013-11-12 18:52:17.145000,4694202700110029,-51,331A,0
2013-11-12 18:52:18.165000,4694202700110029,-58,341A,0
2013-11-12 18:52:19.169000,4694202700110029,-52,351A,0
