timestamp, mac, rss, battery
2013-11-12 18:44:54.007000,4694202700110029,-60,8518,0
2013-11-12 18:44:55.037000,4694202700110029,-64,8618,0
2013-11-12 18:44:56.056000,4694202700110029,-62,8718,0
2013-11-12 18:44:57.109000,4694202700110029,-61,8818,0
2013-11-12 18:44:58.161000,4694202700110029,-61,8918,0
2013-11-12 18:44:59.150000,4694202700110029,-62,8A18,0
2013-11-12 18:45:00.203000,4694202700110029,-67,8B18,0
2013-11-12 18:45:01.207000,4694202700110029,-66,8C18,0
2013-11-12 18:45:02.275000,4694202700110029,-72,8D18,0
2013-11-12 18:45:03.296000,4694202700110029,-74,8E18,0
2013-11-12 18:45:04.316000,4694202700110029,-68,8F18,0
2013-11-12 18:45:05.354000,4694202700110029,-65,9018,0
2013-11-12 18:45:06.422000,4694202700110029,-67,9118,0
2013-11-12 18:45:07.490000,4694202700110029,-65,9218,0
2013-11-12 18:45:08.558000,4694202700110029,-64,9318,0
2013-11-12 18:45:09.531000,4694202700110029,-64,9418,0
2013-11-12 18:45:10.567000,4694202700110029,-53,9518,0
2013-11-12 18:45:11.556000,4694202700110029,-56,9618,0
2013-11-12 18:45:13.645000,4694202700110029,-66,9818,0
2013-11-12 18:45:14.697000,4694202700110029,-61,9918,0
2013-11-12 18:45:15.765000,4694202700110029,-57,9A18,0
2013-11-12 18:45:16.801000,4694202700110029,-68,9B18,0
2013-11-12 18:45:17.789000,4694202700110029,-54,9C18,0
2013-11-12 18:45:18.858000,4694202700110029,-56,9D18,0
2013-11-12 18:45:19.862000,4694202700110029,-61,9E18,0
2013-11-12 18:45:20.883000,4694202700110029,-58,9F18,0
2013-11-12 18:45:21.919000,4694202700110029,-59,A018,0
2013-11-12 18:45:23.004000,4694202700110029,-55,A118,0
