timestamp, mac, rss, battery
2013-11-12 18:44:04.762000,4694202700110029,-40,5518,0
2013-11-12 18:44:05.813000,4694202700110029,-40,5618,0
2013-11-12 18:44:06.817000,4694202700110029,-39,5718,0
2013-11-12 18:44:07.838000,4694202700110029,-40,5818,0
2013-11-12 18:44:08.842000,4694202700110029,-39,5918,0
2013-11-12 18:44:09.862000,4694202700110029,-39,5A18,0
2013-11-12 18:44:10.882000,4694202700110029,-59,5B18,0
2013-11-12 18:44:11.935000,4694202700110029,-64,5C18,0
2013-11-12 18:44:12.940000,4694202700110029,-68,5D18,0
2013-11-12 18:44:13.960000,4694202700110029,-68,5E18,0
2013-11-12 18:44:15.012000,4694202700110029,-65,5F18,0
2013-11-12 18:44:16.080000,4694202700110029,-68,6018,0
2013-11-12 18:44:17.069000,4694202700110029,-66,6118,0
2013-11-12 18:44:18.121000,4694202700110029,-63,6218,0
2013-11-12 18:44:19.125000,4694202700110029,-61,6318,0
2013-11-12 18:44:20.113000,4694202700110029,-63,6418,0
2013-11-12 18:44:22.137000,4694202700110029,-61,6618,0
2013-11-12 18:44:23.205000,4694202700110029,-63,6718,0
2013-11-12 18:44:24.241000,4694202700110029,-62,6818,0
2013-11-12 18:44:25.294000,4694202700110029,-60,6918,0
2013-11-12 18:44:26.282000,4694202700110029,-64,6A18,0
2013-11-12 18:44:27.302000,4694202700110029,-57,6B18,0
2013-11-12 18:44:28.355000,4694202700110029,-54,6C18,0
2013-11-12 18:44:29.374000,4694202700110029,-57,6D18,0
2013-11-12 18:44:30.396000,4694202700110029,-57,6E18,0
2013-11-12 18:44:31.384000,4694202700110029,-58,6F18,0
