timestamp, mac, rss, battery
2013-11-12 17:39:23.148000,4694202700110029,-61,9A09,0
2013-11-12 17:39:24.167000,4694202700110029,-59,9B09,0
2013-11-12 17:39:25.155000,4694202700110029,-59,9C09,0
2013-11-12 17:39:26.160000,4694202700110029,-59,9D09,0
2013-11-12 17:39:27.212000,4694202700110029,-60,9E09,0
2013-11-12 17:39:28.264000,4694202700110029,-61,9F09,0
2013-11-12 17:39:29.332000,4694202700110029,-61,A009,0
2013-11-12 17:39:30.304000,4694202700110029,-62,A109,0
2013-11-12 17:39:31.358000,4694202700110029,-62,A209,0
2013-11-12 17:39:32.426000,4694202700110029,-61,A309,0
2013-11-12 17:39:33.415000,4694202700110029,-61,A409,0
2013-11-12 17:39:34.467000,4694202700110029,-62,A509,0
2013-11-12 17:39:35.487000,4694202700110029,-58,A609,0
2013-11-12 17:39:36.476000,4694202700110029,-58,A709,0
2013-11-12 17:39:37.544000,4694202700110029,-58,A809,0
2013-11-12 17:39:38.533000,4694202700110029,-58,A909,0
2013-11-12 17:39:39.585000,4694202700110029,-59,AA09,0
2013-11-12 17:39:40.557000,4694202700110029,-58,AB09,0
2013-11-12 17:39:41.578000,4694202700110029,-58,AC09,0
2013-11-12 17:39:42.566000,4694202700110029,-59,AD09,0
2013-11-12 17:39:43.587000,4694202700110029,-58,AE09,0
2013-11-12 17:39:44.591000,4694202700110029,-58,AF09,0
2013-11-12 17:39:45.675000,4694202700110029,-58,B009,0
2013-11-12 17:39:46.663000,4694202700110029,-58,B109,0
2013-11-12 17:39:47.668000,4694202700110029,-58,B209,0
2013-11-12 17:39:48.673000,4694202700110029,-58,B309,0
2013-11-12 17:39:49.726000,4694202700110029,-59,B409,0
2013-11-12 17:39:50.762000,4694202700110029,-58,B509,0
2013-11-12 17:39:51.782000,4694202700110029,-58,B609,0
2013-11-12 17:39:52.819000,4694202700110029,-58,B709,0
2013-11-12 17:39:53.887000,4694202700110029,-58,B809,0
2013-11-12 17:39:54.923000,4694202700110029,-58,B909,0
2013-11-12 17:39:55.975000,4694202700110029,-58,BA09,0
2013-11-12 17:39:56.980000,4694202700110029,-58,BB09,0
2013-11-12 17:39:57.984000,4694202700110029,-58,BC09,0
2013-11-12 17:39:59.034000,4694202700110029,-59,BD09,0
2013-11-12 17:39:59.994000,4694202700110029,-58,BE09,0
2013-11-12 17:40:01.063000,4694202700110029,-54,BF09,0
2013-11-12 17:40:02.099000,4694202700110029,-59,C009,0
2013-11-12 17:40:03.183000,4694202700110029,-56,C109,0
2013-11-12 17:40:04.203000,4694202700110029,-56,C209,0
2013-11-12 17:40:05.256000,4694202700110029,-56,C309,0
2013-11-12 17:40:06.325000,4694202700110029,-57,C409,0
2013-11-12 17:40:07.378000,4694202700110029,-56,C509,0
2013-11-12 17:40:08.399000,4694202700110029,-56,C609,0
2013-11-12 17:40:09.452000,4694202700110029,-55,C709,0
2013-11-12 17:40:10.520000,4694202700110029,-56,C809,0
2013-11-12 17:40:11.510000,4694202700110029,-56,C909,0
2013-11-12 17:40:12.578000,4694202700110029,-56,CA09,0
2013-11-12 17:40:13.647000,4694202700110029,-57,CB09,0
2013-11-12 17:40:14.620000,4694202700110029,-56,CC09,0
2013-11-12 17:40:15.608000,4694202700110029,-54,CD09,0
2013-11-12 17:40:16.613000,4694202700110029,-54,CE09,0
2013-11-12 17:40:17.649000,4694202700110029,-54,CF09,0
2013-11-12 17:40:18.680000,4694202700110029,-54,D009,0
2013-11-12 17:40:19.675000,4694202700110029,-54,D109,0
2013-11-12 17:40:20.712000,4694202700110029,-54,D209,0
2013-11-12 17:40:21.764000,4694202700110029,-53,D309,0
2013-11-12 17:40:22.784000,4694202700110029,-56,D409,0
2013-11-12 17:40:23.839000,4694202700110029,-55,D509,0
2013-11-12 17:40:24.875000,4694202700110029,-54,D609,0
2013-11-12 17:40:25.896000,4694202700110029,-55,D709,0
2013-11-12 17:40:26.964000,4694202700110029,-55,D809,0
2013-11-12 17:40:27.953000,4694202700110029,-55,D909,0
2013-11-12 17:40:29.005000,4694202700110029,-54,DA09,0
2013-11-12 17:40:29.995000,4694202700110029,-55,DB09,0
2013-11-12 17:40:31.079000,4694202700110029,-55,DC09,0
2013-11-12 17:40:32.068000,4694202700110029,-55,DD09,0
2013-11-12 17:40:33.120000,4694202700110029,-56,DE09,0
2013-11-12 17:40:34.188000,4694202700110029,-55,DF09,0
2013-11-12 17:40:35.177000,4694202700110029,-55,E009,0
2013-11-12 17:40:36.197000,4694202700110029,-55,E109,0
2013-11-12 17:40:37.186000,4694202700110029,-55,E209,0
2013-11-12 17:40:38.238000,4694202700110029,-55,E309,0
2013-11-12 17:40:39.274000,4694202700110029,-55,E409,0
2013-11-12 17:40:40.294000,4694202700110029,-55,E509,0
2013-11-12 17:40:41.316000,4694202700110029,-55,E609,0
2013-11-12 17:40:42.320000,4694202700110029,-55,E709,0
2013-11-12 17:40:43.325000,4694202700110029,-55,E809,0
2013-11-12 17:40:44.393000,4694202700110029,-55,E909,0
2013-11-12 17:40:45.461000,4694202700110029,-55,EA09,0
2013-11-12 17:40:46.450000,4694202700110029,-55,EB09,0
2013-11-12 17:40:47.470000,4694202700110029,-55,EC09,0
2013-11-12 17:40:48.475000,4694202700110029,-55,ED09,0
2013-11-12 17:40:49.463000,4694202700110029,-55,EE09,0
2013-11-12 17:40:50.484000,4694202700110029,-55,EF09,0
2013-11-12 17:40:51.552000,4694202700110029,-55,F009,0
2013-11-12 17:40:52.588000,4694202700110029,-55,F109,0
2013-11-12 17:40:53.577000,4694202700110029,-55,F209,0
2013-11-12 17:40:54.565000,4694202700110029,-55,F309,0
2013-11-12 17:40:55.586000,4694202700110029,-55,F409,0
2013-11-12 17:40:56.590000,4694202700110029,-55,F509,0
2013-11-12 17:40:57.610000,4694202700110029,-55,F609,0
2013-11-12 17:40:58.663000,4694202700110029,-55,F709,0
2013-11-12 17:40:59.701000,4694202700110029,-53,F809,0
2013-11-12 17:41:00.737000,4694202700110029,-54,F909,0
2013-11-12 17:41:01.758000,4694202700110029,-54,FA09,0
2013-11-12 17:41:02.762000,4694202700110029,-54,FB09,0
2013-11-12 17:41:03.831000,4694202700110029,-54,FC09,0
2013-11-12 17:41:04.899000,4694202700110029,-54,FD09,0
2013-11-12 17:41:05.952000,4694202700110029,-55,FE09,0
2013-11-12 17:41:07.005000,4694202700110029,-57,FF09,0
2013-11-12 17:41:08.089000,4694202700110029,-56,000A,0
2013-11-12 17:41:09.079000,4694202700110029,-55,010A,0
2013-11-12 17:41:10.084000,4694202700110029,-56,020A,0
2013-11-12 17:41:11.073000,4694202700110029,-56,030A,0
2013-11-12 17:41:12.109000,4694202700110029,-55,040A,0
2013-11-12 17:41:13.129000,4694202700110029,-55,050A,0
2013-11-12 17:41:14.166000,4694202700110029,-55,060A,0
2013-11-12 17:41:15.186000,4694202700110029,-55,070A,0
2013-11-12 17:41:16.175000,4694202700110029,-55,080A,0
2013-11-12 17:41:17.196000,4694202700110029,-55,090A,0
2013-11-12 17:41:18.216000,4694202700110029,-55,0A0A,0
2013-11-12 17:41:19.220000,4694202700110029,-54,0B0A,0
2013-11-12 17:41:20.209000,4694202700110029,-56,0C0A,0
2013-11-12 17:41:21.278000,4694202700110029,-56,0D0A,0
2013-11-12 17:41:22.298000,4694202700110029,-57,0E0A,0
2013-11-12 17:41:23.320000,4694202700110029,-56,0F0A,0
2013-11-12 17:41:24.372000,4694202700110029,-56,100A,0
2013-11-12 17:41:25.409000,4694202700110029,-56,110A,0
2013-11-12 17:41:26.430000,4694202700110029,-55,120A,0
2013-11-12 17:41:27.482000,4694202700110029,-51,130A,0
2013-11-12 17:41:28.534000,4694202700110029,-57,140A,0
2013-11-12 17:41:29.587000,4694202700110029,-56,150A,0
2013-11-12 17:41:31.642000,4694202700110029,-53,170A,0
2013-11-12 17:41:32.679000,4694202700110029,-52,180A,0
2013-11-12 17:41:33.716000,4694202700110029,-53,190A,0
2013-11-12 17:41:34.768000,4694202700110029,-53,1A0A,0
2013-11-12 17:41:35.852000,4694202700110029,-56,1B0A,0
2013-11-12 17:41:36.841000,4694202700110029,-56,1C0A,0
2013-11-12 17:41:37.909000,4694202700110029,-56,1D0A,0
2013-11-12 17:41:38.914000,4694202700110029,-56,1E0A,0
2013-11-12 17:41:39.902000,4694202700110029,-56,1F0A,0
2013-11-12 17:41:40.955000,4694202700110029,-56,200A,0
2013-11-12 17:41:42.007000,4694202700110029,-56,210A,0
