timestamp, mac, rss, battery
2013-11-12 18:46:38.914000,4694202700110029,-49,EB18,0
2013-11-12 18:46:39.935000,4694202700110029,-50,EC18,0
2013-11-12 18:46:40.939000,4694202700110029,-51,ED18,0
2013-11-12 18:46:41.959000,4694202700110029,-50,EE18,0
2013-11-12 18:46:42.996000,4694202700110029,-50,EF18,0
2013-11-12 18:46:43.984000,4694202700110029,-51,F018,0
2013-11-12 18:46:44.972000,4694202700110029,-51,F118,0
2013-11-12 18:46:46.040000,4694202700110029,-51,F218,0
2013-11-12 18:46:47.029000,4694202700110029,-51,F318,0
2013-11-12 18:46:48.065000,4694202700110029,-50,F418,0
2013-11-12 18:46:49.133000,4694202700110029,-51,F518,0
2013-11-12 18:46:50.202000,4694202700110029,-51,F618,0
2013-11-12 18:46:51.206000,4694202700110029,-51,F718,0
2013-11-12 18:46:52.211000,4694202700110029,-52,F818,0
2013-11-12 18:46:53.231000,4694202700110029,-49,F918,0
2013-11-12 18:46:54.300000,4694202700110029,-51,FA18,0
2013-11-12 18:46:55.335000,4694202700110029,-51,FB18,0
2013-11-12 18:46:56.388000,4694202700110029,-50,FC18,0
2013-11-12 18:46:57.424000,4694202700110029,-51,FD18,0
2013-11-12 18:46:58.493000,4694202700110029,-51,FE18,0
2013-11-12 18:46:59.482000,4694202700110029,-50,FF18,0
2013-11-12 18:47:00.503000,4694202700110029,-50,0019,0
2013-11-12 18:47:01.493000,4694202700110029,-51,0119,0
2013-11-12 18:47:02.513000,4694202700110029,-50,0219,0
2013-11-12 18:47:03.582000,4694202700110029,-49,0319,0
2013-11-12 18:47:04.571000,4694202700110029,-50,0419,0
2013-11-12 18:47:05.607000,4694202700110029,-51,0519,0
2013-11-12 18:47:06.612000,4694202700110029,-50,0619,0
2013-11-12 18:47:07.634000,4694202700110029,-49,0719,0
2013-11-12 18:47:08.687000,4694202700110029,-50,0819,0
2013-11-12 18:47:09.740000,4694202700110029,-50,0919,0
2013-11-12 18:47:10.760000,4694202700110029,-49,0A19,0
2013-11-12 18:47:11.765000,4694202700110029,-50,0B19,0
2013-11-12 18:47:12.786000,4694202700110029,-50,0C19,0
2013-11-12 18:47:15.882000,4694202700110029,-49,0F19,0
2013-11-12 18:47:16.934000,4694202700110029,-50,1019,0
2013-11-12 18:47:17.971000,4694202700110029,-49,1119,0
2013-11-12 18:47:18.959000,4694202700110029,-50,1219,0
2013-11-12 18:47:20.011000,4694202700110029,-50,1319,0
2013-11-12 18:47:23.030000,4694202700110029,-50,1619,0
2013-11-12 18:47:25.116000,4694202700110029,-50,1819,0
2013-11-12 18:47:26.121000,4694202700110029,-49,1919,0
2013-11-12 18:47:27.117000,4694202700110029,-49,1A19,0
2013-11-12 18:47:28.192000,4694A0A7809180A9,-50,1B19,0
2013-11-12 18:47:29.244000,4694202700110029,-49,1C19,0
2013-11-12 18:47:30.249000,4694202700110029,-49,1D19,0
2013-11-12 18:47:31.317000,4694202700110029,-50,1E19,0
2013-11-12 18:47:32.322000,4694202700110029,-50,1F19,0
2013-11-12 18:47:33.311000,4694202700110029,-49,2019,0
2013-11-12 18:47:34.300000,4694202700110029,-49,2119,0
2013-11-12 18:47:35.384000,4694202700110029,-49,2219,0
2013-11-12 18:47:36.421000,4694202700110029,-49,2319,0
2013-11-12 18:47:37.425000,4694202700110029,-49,2419,0
2013-11-12 18:47:38.430000,4694202700110029,-49,2519,0
2013-11-12 18:47:39.466000,4694202700110029,-49,2619,0
2013-11-12 18:47:40.470000,4694202700110029,-50,2719,0
2013-11-12 18:47:41.506000,4694202700110029,-49,2819,0
2013-11-12 18:47:42.496000,4694202700110029,-49,2919,0
2013-11-12 18:47:43.500000,4694202700110029,-49,2A19,0
2013-11-12 18:47:44.505000,4694202700110029,-49,2B19,0
2013-11-12 18:47:45.541000,4694202700110029,-49,2C19,0
2013-11-12 18:47:46.562000,4694202700110029,-51,2D19,0
2013-11-12 18:47:47.614000,4694202700110029,-49,2E19,0
2013-11-12 18:47:48.618000,4694202700110029,-49,2F19,0
2013-11-12 18:47:49.671000,4694202700110029,-49,3019,0
2013-11-12 18:47:50.661000,4694202700110029,-49,3119,0
2013-11-12 18:47:51.665000,4694202700110029,-49,3219,0
2013-11-12 18:47:52.670000,4694202700110029,-49,3319,0
2013-11-12 18:47:53.722000,4694202700110029,-50,3419,0
2013-11-12 18:47:54.727000,4694202700110029,-49,3519,0
2013-11-12 18:47:55.716000,4694202700110029,-49,3619,0
2013-11-12 18:47:56.800000,4694202700110029,-49,3719,0
2013-11-12 18:47:57.868000,4694202700110029,-50,3819,0
2013-11-12 18:47:58.905000,4694202700110029,-50,3919,0
2013-11-12 18:47:59.991000,4694202700110029,-50,3A19,0
2013-11-12 18:48:01.012000,4694202700110029,-49,3B19,0
2013-11-12 18:48:02.081000,4694202700110029,-50,3C19,0
2013-11-12 18:48:03.149000,4694202700110029,-50,3D19,0
2013-11-12 18:48:04.201000,4694202700110029,-49,3E19,0
2013-11-12 18:48:05.253000,4694202700110029,-47,3F19,0
2013-11-12 18:48:06.337000,4694202700110029,-44,4019,0
2013-11-12 18:48:07.406000,4694202700110029,-44,4119,0
2013-11-12 18:48:08.474000,4694202700110029,-44,4219,0
2013-11-12 18:48:09.479000,4694202700110029,-44,4319,0
2013-11-12 18:48:10.483000,4694202700110029,-44,4419,0
2013-11-12 18:48:11.519000,4694202700110029,-44,4519,0
2013-11-12 18:48:12.523000,4694202700110029,-44,4619,0
2013-11-12 18:48:13.591000,4694202700110029,-44,4719,0
2013-11-12 18:48:14.643000,4694202700110029,-44,4819,0
2013-11-12 18:48:15.695000,4694202700110029,-47,4919,0
2013-11-12 18:48:16.731000,4694202700110029,-52,4A19,0
2013-11-12 18:48:17.737000,4694202700110029,-56,4B19,0
2013-11-12 18:48:18.710000,4694202700110029,-58,4C19,0
2013-11-12 18:48:19.729000,4694202700110029,-58,4D19,0
2013-11-12 18:48:20.782000,4694202700110029,-55,4E19,0
