timestamp, mac, rss, battery
2013-11-12 18:27:36.613000,4694202700110029,-49,9414,0
2013-11-12 18:27:37.615000,4694202700110029,-47,9514,0
2013-11-12 18:27:38.603000,4694202700110029,-50,9614,0
2013-11-12 18:27:39.640000,4694202700110029,-51,9714,0
2013-11-12 18:27:40.645000,4694202700110029,-50,9814,0
2013-11-12 18:27:41.666000,4694202700110029,-50,9914,0
2013-11-12 18:27:42.719000,4694202700110029,-47,9A14,0
2013-11-12 18:27:43.772000,4694202700110029,-45,9B14,0
2013-11-12 18:27:44.808000,4694202700110029,-46,9C14,0
2013-11-12 18:27:45.828000,4694202700110029,-46,9D14,0
2013-11-12 18:27:46.848000,4694202700110029,-46,9E14,0
2013-11-12 18:27:47.869000,4694202700110029,-46,9F14,0
2013-11-12 18:27:48.873000,4694202700110029,-45,A014,0
2013-11-12 18:27:49.942000,4694202700110029,-45,A114,0
2013-11-12 18:27:50.930000,4694202700110029,-46,A214,0
2013-11-12 18:27:51.903000,4694202700110029,-46,A314,0
2013-11-12 18:27:52.988000,4694202700110029,-45,A414,0
2013-11-12 18:27:53.994000,4694202700110029,-46,A514,0
2013-11-12 18:27:54.983000,4694202700110029,-46,A614,0
2013-11-12 18:27:55.987000,4694202700110029,-46,A714,0
2013-11-12 18:27:56.992000,4694202700110029,-45,A814,0
2013-11-12 18:27:58.045000,4694202700110029,-45,A914,0
2013-11-12 18:27:59.066000,4694202700110029,-46,AA14,0
2013-11-12 18:28:00.087000,4694202700110029,-46,AB14,0
2013-11-12 18:28:01.107000,4694202700110029,-45,AC14,0
2013-11-12 18:28:02.159000,4694202700110029,-45,AD14,0
2013-11-12 18:28:03.163000,4694202700110029,-45,AE14,0
2013-11-12 18:28:04.199000,4694202700110029,-45,AF14,0
2013-11-12 18:28:05.204000,4694202700110029,-46,B014,0
2013-11-12 18:28:06.272000,4694202700110029,-46,B114,0
2013-11-12 18:28:07.260000,4694202700110029,-45,B214,0
2013-11-12 18:28:08.264000,4694202700110029,-45,B314,0
2013-11-12 18:28:09.284000,4694202700110029,-45,B414,0
2013-11-12 18:28:10.336000,4694202700110029,-46,B514,0
2013-11-12 18:28:11.341000,4694202700110029,-46,B614,0
2013-11-12 18:28:12.345000,4694202700110029,-46,B714,0
2013-11-12 18:28:13.381000,4694202700110029,-46,B814,0
2013-11-12 18:28:14.401000,4694202700110029,-45,B914,0
2013-11-12 18:28:15.389000,4694202700110029,-46,BA14,0
2013-11-12 18:28:16.425000,4694202700110029,-45,BB14,0
2013-11-12 18:28:17.461000,4694202700110029,-46,BC14,0
2013-11-12 18:28:18.481000,4694202700110029,-46,BD14,0
2013-11-12 18:28:19.517000,4694202700110029,-46,BE14,0
2013-11-12 18:28:20.585000,4694202700110029,-46,BF14,0
2013-11-12 18:28:21.589000,4694202700110029,-46,C014,0
2013-11-12 18:28:22.657000,4694202700110029,-45,C114,0
2013-11-12 18:28:23.645000,4694202700110029,-46,C214,0
2013-11-12 18:28:24.713000,4694202700110029,-46,C314,0
2013-11-12 18:28:25.781000,4694202700110029,-46,C414,0
2013-11-12 18:28:26.817000,4694202700110029,-46,C514,0
2013-11-12 18:28:27.853000,4694202700110029,-45,C614,0
2013-11-12 18:28:28.858000,4694202700110029,-46,C714,0
2013-11-12 18:28:29.846000,4694202700110029,-45,C814,0
2013-11-12 18:28:30.898000,4694202700110029,-46,C914,0
2013-11-12 18:28:31.902000,4694202700110029,-45,CA14,0
2013-11-12 18:28:32.890000,4694202700110029,-46,CB14,0
2013-11-12 18:28:33.895000,4694202700110029,-46,CC14,0
2013-11-12 18:28:34.963000,4694202700110029,-46,CD14,0
2013-11-12 18:28:36.015000,4694202700110029,-46,CE14,0
2013-11-12 18:28:37.067000,4694202700110029,-46,CF14,0
2013-11-12 18:28:38.087000,4694202700110029,-46,D014,0
2013-11-12 18:28:39.139000,4694202700110029,-45,D114,0
2013-11-12 18:28:40.128000,4694202700110029,-46,D214,0
2013-11-12 18:28:41.179000,4694202700110029,-45,D314,0
2013-11-12 18:28:42.231000,4694202700110029,-45,D414,0
2013-11-12 18:28:43.267000,4694202700110029,-46,D514,0
2013-11-12 18:28:44.287000,4694202700110029,-45,D614,0
2013-11-12 18:28:45.276000,4694202700110029,-46,D714,0
2013-11-12 18:28:46.344000,4694202700110029,-45,D814,0
2013-11-12 18:28:47.364000,4694202700110029,-46,D914,0
2013-11-12 18:28:48.384000,4694202700110029,-46,DA14,0
2013-11-12 18:28:49.420000,4694202700110029,-46,DB14,0
2013-11-12 18:28:50.504000,4694202700110029,-46,DC14,0
2013-11-12 18:28:51.540000,4694202700110029,-46,DD14,0
2013-11-12 18:28:52.544000,4694202700110029,-45,DE14,0
2013-11-12 18:28:53.548000,4694202700110029,-46,DF14,0
2013-11-12 18:28:54.616000,4694202700110029,-46,E014,0
2013-11-12 18:28:55.684000,4694202700110029,-45,E114,0
2013-11-12 18:28:56.720000,4694202700110029,-46,E214,0
2013-11-12 18:28:57.772000,4694202700110029,-47,E314,0
2013-11-12 18:28:58.777000,4694202700110029,-47,E414,0
2013-11-12 18:28:59.782000,4694202700110029,-46,E514,0
2013-11-12 18:29:00.803000,4694202700110029,-47,E614,0
2013-11-12 18:29:01.871000,4694202700110029,-47,E714,0
2013-11-12 18:29:02.875000,4694202700110029,-47,E814,0
2013-11-12 18:29:03.959000,4694202700110029,-47,E914,0
2013-11-12 18:29:04.995000,4694202700110029,-47,EA14,0
2013-11-12 18:29:06.047000,4694202700110029,-46,EB14,0
2013-11-12 18:29:07.068000,4694202700110029,-47,EC14,0
2013-11-12 18:29:08.135000,4694202700110029,-44,ED14,0
2013-11-12 18:29:09.155000,4694202700110029,-46,EE14,0
2013-11-12 18:29:10.208000,4694202700110029,-45,EF14,0
2013-11-12 18:29:11.244000,4694202700110029,-46,F014,0
2013-11-12 18:29:12.264000,4694202700110029,-46,F114,0
2013-11-12 18:29:13.236000,4694202700110029,-46,F214,0
2013-11-12 18:29:14.272000,4694202700110029,-46,F314,0
2013-11-12 18:29:15.276000,4694202700110029,-46,F414,0
2013-11-12 18:29:16.265000,4694202700110029,-46,F514,0
2013-11-12 18:29:17.253000,4694202700110029,-46,F614,0
2013-11-12 18:29:18.273000,4694202700110029,-46,F714,0
2013-11-12 18:29:19.325000,4694202700110029,-47,F814,0
2013-11-12 18:29:20.329000,4694202700110029,-47,F914,0
2013-11-12 18:29:21.382000,4694202700110029,-47,FA14,0
2013-11-12 18:29:22.465000,4694202700110029,-47,FB14,0
2013-11-12 18:29:23.437000,4694202700110029,-47,FC14,0
2013-11-12 18:29:24.457000,4694202700110029,-47,FD14,0
2013-11-12 18:29:25.509000,4694202700110029,-47,FE14,0
2013-11-12 18:29:26.546000,4694202700110029,-47,FF14,0
2013-11-12 18:29:27.613000,4694202700110029,-47,0015,0
2013-11-12 18:29:28.618000,4694202700110029,-47,0115,0
2013-11-12 18:29:29.638000,4694202700110029,-46,0215,0
2013-11-12 18:29:30.642000,4694202700110029,-46,0315,0
2013-11-12 18:29:31.678000,4694202700110029,-46,0415,0
2013-11-12 18:29:32.682000,4694202700110029,-46,0515,0
2013-11-12 18:29:33.734000,4694202700110029,-46,0615,0
2013-11-12 18:29:34.738000,4694202700110029,-49,0715,0
2013-11-12 18:29:35.726000,4694202700110029,-49,0815,0
2013-11-12 18:29:36.762000,4694202700110029,-53,0915,0
2013-11-12 18:29:37.766000,4694202700110029,-55,0A15,0
2013-11-12 18:29:38.787000,4694202700110029,-54,0B15,0
2013-11-12 18:29:39.839000,4694202700110029,-53,0C15,0
2013-11-12 18:29:40.875000,4694202700110029,-53,0D15,0
2013-11-12 18:29:41.848000,4694202700110029,-55,0E15,0
2013-11-12 18:29:42.931000,4694202700110029,-53,0F15,0
2013-11-12 18:29:43.920000,4694202700110029,-53,1015,0
2013-11-12 18:29:44.924000,4694202700110029,-54,1115,0
2013-11-12 18:29:45.960000,4694202700110029,-53,1215,0
2013-11-12 18:29:46.980000,4694202700110029,-53,1315,0
2013-11-12 18:29:47.952000,4694202700110029,-54,1415,0
2013-11-12 18:29:48.973000,4694202700110029,-54,1515,0
