timestamp, mac, rss, battery
2013-11-12 19:41:45.424000,4694202700110029,-53,5B25,0
2013-11-12 19:41:45.706000,4694202700110029,-54,5C25,0
2013-11-12 19:41:45.809000,4694202700110029,-54,5D25,0
2013-11-12 19:41:45.881000,4694202700110029,-53,5E25,0
2013-11-12 19:41:45.955000,4694202700110029,-53,5F25,0
2013-11-12 19:41:46.024000,4694202700110029,-53,6025,0
2013-11-12 19:41:46.090000,4694202700110029,-54,6125,0
2013-11-12 19:41:46.157000,4694202700110029,-54,6225,0
2013-11-12 19:41:46.230000,4694202700110029,-53,6325,0
2013-11-12 19:41:46.287000,4694202700110029,-53,6425,0
2013-11-12 19:41:46.356000,4694202700110029,-54,6625,0
2013-11-12 19:41:46.426000,4694202700110029,-53,6725,0
2013-11-12 19:41:46.512000,4694202700110029,-62,6A25,0
2013-11-12 19:41:46.587000,4694202700110029,-62,6B25,0
2013-11-12 19:41:46.651000,4694202700110029,-61,6C25,0
2013-11-12 19:41:46.742000,4694202700110029,-54,7025,0
2013-11-12 19:41:46.811000,4694202700110029,-54,7125,0
2013-11-12 19:41:46.874000,4694202700110029,-53,7225,0
2013-11-12 19:41:46.935000,4694202700110029,-54,7325,0
2013-11-12 19:41:46.996000,4694202700110029,-54,7425,0
2013-11-12 19:41:47.058000,4694202700110029,-54,7525,0
2013-11-12 19:41:47.126000,4694202700110029,-54,7625,0
2013-11-12 19:41:47.250000,4694202700110029,-54,7725,0
2013-11-12 19:41:48.254000,4694202700110029,-54,7825,0
2013-11-12 19:41:49.290000,4694202700110029,-54,7925,0
2013-11-12 19:41:50.278000,4694202700110029,-55,7A25,0
2013-11-12 19:41:51.299000,4694202700110029,-54,7B25,0
2013-11-12 19:41:52.335000,4694202700110029,-55,7C25,0
2013-11-12 19:41:53.370000,4694202700110029,-54,7D25,0
2013-11-12 19:41:54.344000,4694202700110029,-54,7E25,0
2013-11-12 19:41:55.380000,4694202700110029,-55,7F25,0
2013-11-12 19:41:56.416000,4694202700110029,-54,8025,0
2013-11-12 19:41:59.440000,4694202700110029,-54,8325,0
2013-11-12 19:42:00.461000,4694202700110029,-55,8425,0
2013-11-12 19:42:01.480000,4694202700110029,-58,8525,0
2013-11-12 19:42:02.453000,4694202700110029,-55,8625,0
2013-11-12 19:42:03.473000,4694202700110029,-56,8725,0
2013-11-12 19:42:04.509000,4694202700110029,-56,8825,0
2013-11-12 19:42:05.561000,4694202700110029,-57,8925,0
