timestamp, mac, rss, battery
2013-11-12 19:08:16.005000,4694202700110029,-34,D71D,0
2013-11-12 19:08:17.055000,4694202700110029,-35,D81D,0
2013-11-12 19:08:18.107000,4694202700110029,-35,D91D,0
2013-11-12 19:08:19.127000,4694202700110029,-35,DA1D,0
2013-11-12 19:08:20.147000,4694202700110029,-35,DB1D,0
2013-11-12 19:08:21.136000,4694202700110029,-35,DC1D,0
2013-11-12 19:08:22.204000,4694202700110029,-35,DD1D,0
2013-11-12 19:08:23.241000,4694202700110029,-35,DE1D,0
2013-11-12 19:08:24.261000,4694202700110029,-35,DF1D,0
2013-11-12 19:08:25.297000,4694202700110029,-35,E01D,0
2013-11-12 19:08:26.333000,4694202700110029,-36,E11D,0
2013-11-12 19:08:27.369000,4694202700110029,-35,E21D,0
2013-11-12 19:08:28.406000,4694202700110029,-36,E31D,0
2013-11-12 19:08:29.410000,4694202700110029,-36,E41D,0
2013-11-12 19:08:30.430000,4694202700110029,-37,E51D,0
2013-11-12 19:08:31.466000,4694202700110029,-36,E61D,0
2013-11-12 19:08:32.455000,4694202700110029,-37,E71D,0
2013-11-12 19:08:33.522000,4694202700110029,-37,E81D,0
2013-11-12 19:08:34.511000,4694202700110029,-37,E91D,0
2013-11-12 19:08:35.563000,4694202700110029,-37,EA1D,0
2013-11-12 19:08:36.551000,4694202700110029,-37,EB1D,0
2013-11-12 19:08:37.571000,4694202700110029,-37,EC1D,0
2013-11-12 19:08:38.592000,4694202700110029,-37,ED1D,0
2013-11-12 19:08:39.612000,4694202700110029,-35,EE1D,0
2013-11-12 19:08:40.665000,4694202700110029,-39,EF1D,0
2013-11-12 19:08:41.717000,4694202700110029,-36,F01D,0
2013-11-12 19:08:42.722000,4694202700110029,-36,F11D,0
2013-11-12 19:08:43.790000,4694202700110029,-35,F21D,0
2013-11-12 19:08:44.826000,4694202700110029,-37,F31D,0
2013-11-12 19:08:45.878000,4694202700110029,-37,F41D,0
2013-11-12 19:08:46.962000,4694202700110029,-38,F51D,0
2013-11-12 19:08:47.982000,4694202700110029,-34,F61D,0
2013-11-12 19:08:49.018000,4694202700110029,-36,F71D,0
2013-11-12 19:08:50.070000,4694202700110029,-35,F81D,0
2013-11-12 19:08:51.122000,4694202700110029,-35,F91D,0
2013-11-12 19:08:52.174000,4694202700110029,-34,FA1D,0
2013-11-12 19:08:53.147000,4694202700110029,-34,FB1D,0
2013-11-12 19:08:54.135000,4694202700110029,-33,FC1D,0
2013-11-12 19:08:55.139000,4694202700110029,-32,FD1D,0
2013-11-12 19:08:56.175000,4694202700110029,-32,FE1D,0
2013-11-12 19:08:57.164000,4694202700110029,-33,FF1D,0
2013-11-12 19:08:58.202000,4694202700110029,-33,001E,0
2013-11-12 19:08:59.255000,4694202700110029,-35,011E,0
2013-11-12 19:09:00.260000,4694202700110029,-35,021E,0
2013-11-12 19:09:01.328000,4694202700110029,-38,031E,0
2013-11-12 19:09:02.332000,4694202700110029,-39,041E,0
2013-11-12 19:09:03.385000,4694202700110029,-41,051E,0
2013-11-12 19:09:04.405000,4694202700110029,-39,061E,0
2013-11-12 19:09:05.426000,4694202700110029,-39,071E,0
2013-11-12 19:09:06.446000,4694202700110029,-41,081E,0
2013-11-12 19:09:07.514000,4694202700110029,-37,091E,0
2013-11-12 19:09:08.502000,4694202700110029,-52,0A1E,0
2013-11-12 19:09:09.522000,4694202700110029,-52,0B1E,0
2013-11-12 19:09:10.510000,4694202700110029,-52,0C1E,0
2013-11-12 19:09:11.531000,4694202700110029,-52,0D1E,0
2013-11-12 19:09:12.583000,4694202700110029,-52,0E1E,0
2013-11-12 19:09:13.635000,4694202700110029,-52,0F1E,0
2013-11-12 19:09:14.703000,4694202700110029,-52,101E,0
2013-11-12 19:09:15.756000,4694202700110029,-51,111E,0
2013-11-12 19:09:16.825000,4694202700110029,-52,121E,0
2013-11-12 19:09:17.845000,4694202700110029,-51,131E,0
2013-11-12 19:09:18.833000,4694202700110029,-51,141E,0
2013-11-12 19:09:19.869000,4694202700110029,-52,151E,0
2013-11-12 19:09:20.858000,4694202700110029,-51,161E,0
