timestamp, mac, rss, battery
2013-11-12 18:52:57.039000,4694202700110029,-47,5A1A,0
2013-11-12 18:52:58.025000,4694202700110029,-46,5B1A,0
2013-11-12 18:52:59.063000,4694202700110029,-46,5C1A,0
2013-11-12 18:53:00.115000,4694202700110029,-47,5D1A,0
2013-11-12 18:53:01.119000,4694202700110029,-39,5E1A,0
2013-11-12 18:53:02.140000,4694202700110029,-38,5F1A,0
2013-11-12 18:53:03.160000,4694202700110029,-42,601A,0
2013-11-12 18:53:04.149000,4694202700110029,-45,611A,0
2013-11-12 18:53:05.138000,4694202700110029,-44,621A,0
2013-11-12 18:53:06.126000,4694202700110029,-44,631A,0
2013-11-12 18:53:07.099000,4694202700110029,-45,641A,0
2013-11-12 18:53:09.108000,4694202700110029,-44,661A,0
2013-11-12 18:53:10.097000,4694202700110029,-42,671A,0
2013-11-12 18:53:11.134000,4694202700110029,-42,681A,0
2013-11-12 18:53:12.123000,4694202700110029,-41,691A,0
2013-11-12 18:53:13.143000,4694202700110029,-41,6A1A,0
2013-11-12 18:53:14.214000,4694202700110029,-42,6B1A,0
2013-11-12 18:53:15.250000,4694202700110029,-41,6C1A,0
2013-11-12 18:53:16.335000,4694202700110029,-42,6D1A,0
2013-11-12 18:53:17.340000,4694202700110029,-42,6E1A,0
2013-11-12 18:53:18.377000,4694202700110029,-41,6F1A,0
2013-11-12 18:53:19.398000,4694202700110029,-41,701A,0
2013-11-12 18:53:20.393000,C614202700110029,-42,711A,0
2013-11-12 18:53:21.366000,C614202700110029,-42,721A,0
2013-11-12 18:53:22.419000,4694202700110029,-41,731A,0
2013-11-12 18:53:23.408000,4694202700110029,-42,741A,0
2013-11-12 18:53:24.460000,4694202700110029,-42,751A,0
2013-11-12 18:53:25.481000,4694202700110029,-42,761A,0
2013-11-12 18:53:26.486000,4694202700110029,-42,771A,0
2013-11-12 18:53:27.554000,4694202700110029,-42,781A,0
2013-11-12 18:53:28.606000,4694202700110029,-42,791A,0
2013-11-12 18:53:29.610000,4694202700110029,-42,7A1A,0
2013-11-12 18:53:30.647000,4694202700110029,-42,7B1A,0
2013-11-12 18:53:31.685000,4694202700110029,-41,7C1A,0
2013-11-12 18:53:32.673000,4694202700110029,-42,7D1A,0
